player,team,apps,xg,shots,goals,pens,xg_per_app,lambda,p_score
Cristiano Ronaldo dos Santos Aveiro,Portugal,18,14.04,73,12,9,0.7799999999999999,0.7064873222016079,0.506625778151661
Lionel Andrés Messi Cuccittini,Argentina,16,12.31,66,11,9,0.769375,0.6898017771701983,0.498324497251486
Neymar da Silva Santos Junior,Brazil,8,6.31,39,4,1,0.78875,0.6460212514757969,0.4758729967823433
Kai Havertz,Germany,10,7.47,35,6,2,0.747,0.6358641358641358,0.47052225014097193
Gerard Moreno Balaguero,Spain,5,4.09,18,2,3,0.818,0.6107792207792208,0.4570723562986735
Robert Lewandowski,Poland,10,6.9,38,6,3,0.6900000000000001,0.5920179820179821,0.44679020983696227
Mostafa Mohamed Ahmed Abdallah,Egypt,4,3.29,15,4,2,0.8225,0.5837476808905381,0.442196026833228
Michy Batshuayi Tunga,Belgium,4,3.14,14,2,0,0.785,0.5623191094619666,0.43011409762474506
Harry Kane,England,24,14.33,62,17,9,0.5970833333333333,0.5602308802308803,0.428922801808555
Romelu Lukaku Menama,Belgium,14,8.72,43,8,1,0.6228571428571429,0.5597784568372804,0.4286643746697082
Yoane Wissa,Congo DR,6,4.24,21,3,2,0.7066666666666667,0.5595815295815296,0.4285518520338759
José Salomón Rondón Giménez,Venezuela,4,3.1,19,4,2,0.775,0.5566048237476809,0.4268482847466527
Emilio Nsue López,Equatorial Guinea,4,2.95,9,5,1,0.7375,0.5351762523191095,0.4144339263294867
Patrik Schick,Czech Republic,5,3.45,23,6,1,0.6900000000000001,0.5307792207792208,0.4118535048951154
Aleksandar Mitrović,Serbia,8,4.92,36,3,0,0.615,0.5196576151121606,0.4052758623276408
Kylian Mbappé Lottin,France,21,11.53,79,14,5,0.549047619047619,0.5135930735930736,0.401658174380749
William Troost-Ekong,Nigeria,4,2.67,8,4,3,0.6675,0.49517625231910944,0.390536521522196
Andrea Belotti,Italy,4,2.61,11,1,2,0.6525,0.4866048237476809,0.38529009629089794
Bertrand Isidore Traoré,Burkina Faso,4,2.53,11,3,3,0.6325,0.4751762523191094,0.3782245425595765
Leonardo Bonucci,Italy,4,2.52,7,3,2,0.63,0.47374768089053804,0.3773356571391038
Karim Benzema,France,4,2.52,11,4,1,0.63,0.47374768089053804,0.3773356571391038
Lautaro Javier Martínez,Argentina,11,5.79,26,6,1,0.5263636363636364,0.4704452690166976,0.37527596391404594
Álvaro Borja Morata Martín,Spain,15,7.65,41,7,2,0.51,0.4692352092352093,0.37451955292448846
Lucas Tolentino Coelho de Lima,Brazil,5,2.92,15,2,2,0.584,0.46452922077922076,0.37156911223631195
Enner Remberto Valencia Lastra,Ecuador,5,2.81,13,3,2,0.562,0.4507792207792208,0.3628685079545252
Percy Tau,South Africa,4,2.33,12,1,2,0.5825,0.4466048237476809,0.360203309216801
Diego da Silva Costa,Spain,4,2.3,11,3,0,0.575,0.44231910946196656,0.3574554393124285
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,6,3.17,8,4,2,0.5283333333333333,0.4406926406926407,0.35640951029670553
Victor James Osimhen,Nigeria,6,3.11,24,1,0,0.5183333333333333,0.434025974025974,0.3521045731858471
Teboho Mokoena,South Africa,7,3.51,22,3,4,0.5014285714285714,0.4306233766233766,0.3498962910724859
Mario Gavranović,Switzerland,4,2.15,6,3,2,0.5375,0.42089053803339516,0.34353804490691753
Marko Arnautović,Austria,6,2.93,12,2,1,0.48833333333333334,0.414025974025974,0.3390162173669944
Meschak Elia,Congo DR,4,2.08,7,1,1,0.52,0.4108905380333952,0.3369404925738325
Jonathan David,Canada,8,3.72,18,4,2,0.465,0.4105667060212515,0.3367257379090308
