team,champion,reach_r16,rating
Spain,27.82,97.35,2202
Argentina,17.72,93.78,2178
France,8.71,89.71,2116
England,6.38,92.13,2084
Mexico,4.42,97.86,1983
Brazil,4.41,88.86,2050
Colombia,3.9,85.75,2053
Germany,3.69,99.0,2024
Netherlands,2.94,87.17,2011
Portugal,2.61,82.93,2025
Morocco,2.2,85.86,1998
Japan,2.08,86.56,1997
Uruguay,1.56,82.92,1963
Belgium,1.53,82.67,1965
United States,1.49,94.82,1901
Australia,1.4,94.35,1953
Croatia,1.04,81.84,1960
Ecuador,1.04,67.32,1970
Norway,0.91,73.76,1959
Canada,0.72,80.65,1874
Switzerland,0.65,80.16,1934
South Korea,0.44,94.18,1904
Iran,0.41,74.91,1897
Senegal,0.38,66.41,1904
Turkey,0.28,45.59,1908
Scotland,0.27,84.41,1856
Côte d'Ivoire,0.21,92.91,1861
Algeria,0.19,62.59,1880
Panama,0.17,64.47,1838
Austria,0.15,63.79,1894
Paraguay,0.08,32.78,1856
Sweden,0.07,95.27,1817
Uzbekistan,0.03,54.7,1824
Egypt,0.03,61.99,1807
Czech Republic,0.02,45.79,1775
Congo DR,0.02,42.14,1757
Jordan,0.02,42.62,1772
Saudi Arabia,0.01,42.1,1696
Bosnia-Herzegovina,0.0,59.0,1673
Cape Verde Islands,0.0,32.65,1647
Curaçao,0.0,10.65,1587
Ghana,0.0,26.15,1621
Haiti,0.0,12.83,1666
Iraq,0.0,35.88,1738
New Zealand,0.0,48.02,1724
Qatar,0.0,45.8,1604
South Africa,0.0,25.23,1658
Tunisia,0.0,11.69,1681
